Source,Target,Type,weight,common_movies_count,common_movies,common_titles,years,first_common_year,last_common_year,genres,main_common_genre,regions,main_common_region,languages,main_common_language,avg_pair_ordering_sum
nm0000084,nm0339621,Undirected,1,1,tt8499638,Saturday Fiction,2019,2019,2019,Drama|History,Drama,FR,FR,,,4.0
nm0000084,nm0643885,Undirected,1,1,tt8499638,Saturday Fiction,2019,2019,2019,Drama|History,Drama,FR,FR,,,7.0
nm0000084,nm0937239,Undirected,1,1,tt8499638,Saturday Fiction,2019,2019,2019,Drama|History,Drama,FR,FR,,,11.0
nm0000084,nm3609766,Undirected,1,1,tt8499638,Saturday Fiction,2019,2019,2019,Drama|History,Drama,FR,FR,,,3.0
nm0000084,nm4369372,Undirected,1,1,tt8499638,Saturday Fiction,2019,2019,2019,Drama|History,Drama,FR,FR,,,10.0
nm0000084,nm4600309,Undirected,1,1,tt8499638,Saturday Fiction,2019,2019,2019,Drama|History,Drama,FR,FR,,,9.0
nm0000084,nm6331906,Undirected,1,1,tt8499638,Saturday Fiction,2019,2019,2019,Drama|History,Drama,FR,FR,,,6.0
nm0000138,nm0000140,Undirected,1,1,tt8161786,Sauvage: Survivre au Cinéma,2017,2017,2017,Documentary,Documentary,FR,FR,,,9.0
nm0000149,nm0005240,Undirected,1,1,tt13137698,In the Tracks of Mark Isham,2018,2018,2018,Documentary,Documentary,FR,FR,,,10.0
nm0000171,nm0001441,Undirected,1,1,tt10369638,My Name Is Andrea,2022,2022,2022,Documentary,Documentary,FR,FR,,,11.0
nm0000171,nm1331316,Undirected,1,1,tt10369638,My Name Is Andrea,2022,2022,2022,Documentary,Documentary,FR,FR,,,8.0
nm0000171,nm1395602,Undirected,1,1,tt10369638,My Name Is Andrea,2022,2022,2022,Documentary,Documentary,FR,FR,,,12.0
nm0000171,nm1731401,Undirected,1,1,tt10369638,My Name Is Andrea,2022,2022,2022,Documentary,Documentary,FR,FR,,,14.0
nm0000171,nm2057859,Undirected,1,1,tt10369638,My Name Is Andrea,2022,2022,2022,Documentary,Documentary,FR,FR,,,9.0
nm0000171,nm3964350,Undirected,1,1,tt10369638,My Name Is Andrea,2022,2022,2022,Documentary,Documentary,FR,FR,,,7.0
nm0000174,nm0100889,Undirected,1,1,tt9302994,A Soldier's Revenge,2020,2020,2020,Drama|Western,Drama,FR,FR,,,13.0
nm0000174,nm0138371,Undirected,1,1,tt9302994,A Soldier's Revenge,2020,2020,2020,Drama|Western,Drama,FR,FR,,,16.0
nm0000174,nm0681893,Undirected,1,1,tt9302994,A Soldier's Revenge,2020,2020,2020,Drama|Western,Drama,FR,FR,,,14.0
nm0000174,nm1715118,Undirected,1,1,tt9302994,A Soldier's Revenge,2020,2020,2020,Drama|Western,Drama,FR,FR,,,11.0
nm0000174,nm2016364,Undirected,1,1,tt9302994,A Soldier's Revenge,2020,2020,2020,Drama|Western,Drama,FR,FR,,,7.0
nm0000174,nm2373827,Undirected,1,1,tt9302994,A Soldier's Revenge,2020,2020,2020,Drama|Western,Drama,FR,FR,,,8.0
nm0000208,nm0551441,Undirected,1,1,tt4437046,Bad Night,2015,2015,2015,Adventure|Comedy|Crime,Adventure,FR,FR,,,12.0
nm0000208,nm0909768,Undirected,1,1,tt4437046,Bad Night,2015,2015,2015,Adventure|Comedy|Crime,Adventure,FR,FR,,,15.0
nm0000208,nm1566474,Undirected,1,1,tt4437046,Bad Night,2015,2015,2015,Adventure|Comedy|Crime,Adventure,FR,FR,,,11.0
nm0000208,nm2053085,Undirected,1,1,tt4437046,Bad Night,2015,2015,2015,Adventure|Comedy|Crime,Adventure,FR,FR,,,17.0
nm0000208,nm6835764,Undirected,1,1,tt4437046,Bad Night,2015,2015,2015,Adventure|Comedy|Crime,Adventure,FR,FR,,,9.0
nm0000254,nm0712208,Undirected,1,1,tt1921068,David et Madame Hansen,2012,2012,2012,Drama,Drama,FR,FR,,,4.0
nm0000254,nm1190020,Undirected,1,1,tt1921068,David et Madame Hansen,2012,2012,2012,Drama,Drama,FR,FR,,,10.0
nm0000254,nm1594248,Undirected,1,1,tt1921068,David et Madame Hansen,2012,2012,2012,Drama,Drama,FR,FR,,,3.0
nm0000272,nm0134618,Undirected,1,1,tt26448558,My Motherland,2023,2023,2023,Drama,Drama,FR,FR,,,9.0
nm0000272,nm0456268,Undirected,1,1,tt26448558,My Motherland,2023,2023,2023,Drama,Drama,FR,FR,,,7.0
nm0000272,nm11031494,Undirected,1,1,tt26448558,My Motherland,2023,2023,2023,Drama,Drama,FR,FR,,,5.0
nm0000272,nm3035751,Undirected,1,1,tt26448558,My Motherland,2023,2023,2023,Drama,Drama,FR,FR,,,6.0
nm0000272,nm5674479,Undirected,1,1,tt26448558,My Motherland,2023,2023,2023,Drama,Drama,FR,FR,,,8.0
nm0000272,nm5943170,Undirected,1,1,tt26448558,My Motherland,2023,2023,2023,Drama,Drama,FR,FR,,,11.0
nm0000276,nm0001334,Undirected,1,1,tt1965162,Boys of Abu Ghraib,2014,2014,2014,Drama|Thriller|War,Drama,FR,FR,,,7.0
nm0000276,nm0666398,Undirected,1,1,tt1965162,Boys of Abu Ghraib,2014,2014,2014,Drama|Thriller|War,Drama,FR,FR,,,11.0
nm0000276,nm0668139,Undirected,1,1,tt1965162,Boys of Abu Ghraib,2014,2014,2014,Drama|Thriller|War,Drama,FR,FR,,,5.0
nm0000276,nm0919616,Undirected,1,1,tt1965162,Boys of Abu Ghraib,2014,2014,2014,Drama|Thriller|War,Drama,FR,FR,,,8.0
nm0000276,nm1440281,Undirected,1,1,tt1965162,Boys of Abu Ghraib,2014,2014,2014,Drama|Thriller|War,Drama,FR,FR,,,9.0
